iter	Passed	Remaining
0	134	134262
1	135	67563
2	136	45269
3	136	34074
4	137	27353
5	138	22864
6	138	19669
7	139	17279
8	139	15407
9	140	13913
10	141	12680
11	141	11663
12	142	10795
13	142	10052
14	143	9406
15	143	8839
16	144	8337
17	144	7902
18	145	7510
19	145	7153
20	146	6846
21	147	6559
22	148	6293
23	148	6046
24	149	5820
25	149	5610
26	150	5420
27	151	5243
28	151	5073
29	152	4917
30	152	4772
31	153	4633
32	153	4503
33	154	4381
34	154	4269
35	155	4160
36	155	4060
37	156	3962
38	157	3876
39	157	3787
40	158	3702
41	159	3627
42	159	3552
43	160	3478
44	160	3411
45	161	3344
46	161	3283
47	162	3221
48	163	3165
49	163	3110
50	164	3057
51	164	3007
52	165	2959
53	166	2911
54	166	2866
55	167	2822
56	168	2780
57	168	2740
58	169	2699
59	169	2660
60	170	2620
61	170	2584
62	171	2549
63	171	2514
64	172	2482
65	173	2449
66	173	2417
67	173	2383
68	174	2353
69	175	2326
70	175	2298
71	176	2272
72	177	2248
73	177	2223
74	178	2199
75	178	2174
76	179	2151
77	180	2128
78	180	2107
79	181	2090
80	182	2069
81	183	2051
82	183	2030
83	184	2010
84	184	1989
85	185	1970
86	185	1948
87	186	1930
88	186	1911
89	187	1893
90	187	1875
91	188	1857
92	188	1840
93	189	1824
94	189	1807
95	190	1791
96	190	1776
97	191	1761
98	191	1747
99	192	1733
100	193	1719
101	193	1703
102	193	1689
103	194	1675
104	194	1661
105	195	1648
106	196	1635
107	196	1622
108	197	1610
109	197	1598
110	198	1586
111	198	1574
112	199	1562
113	200	1556
114	200	1545
115	201	1533
116	201	1522
117	202	1512
118	202	1501
119	203	1491
120	203	1481
121	204	1472
122	204	1460
123	205	1453
124	206	1444
125	207	1436
126	207	1427
127	208	1417
128	208	1408
129	209	1399
130	209	1391
131	210	1382
132	210	1373
133	211	1365
134	212	1359
135	212	1351
136	213	1343
137	213	1335
138	214	1328
139	214	1320
140	215	1313
141	216	1305
142	216	1298
143	217	1291
144	218	1286
145	218	1279
146	219	1272
147	219	1265
148	220	1257
149	220	1251
150	221	1245
151	221	1238
152	222	1231
153	222	1224
154	223	1218
155	224	1212
156	224	1207
157	225	1201
158	225	1194
159	226	1188
160	226	1182
161	227	1176
162	227	1170
163	228	1164
164	229	1158
165	229	1153
166	230	1150
167	231	1145
168	231	1139
169	232	1135
170	233	1130
171	233	1124
172	234	1119
173	234	1114
174	235	1109
175	235	1104
176	236	1099
177	237	1094
178	237	1090
179	238	1085
180	238	1079
181	239	1075
182	239	1070
183	240	1066
184	240	1061
185	241	1056
186	241	1052
187	242	1048
188	243	1044
189	243	1039
190	244	1035
191	244	1030
192	245	1026
193	246	1022
194	246	1018
195	247	1013
196	247	1009
197	248	1005
198	249	1002
199	249	998
200	250	994
201	250	990
202	251	986
203	251	982
204	252	978
205	252	974
206	253	970
207	253	966
208	254	963
209	255	960
210	255	956
211	256	953
212	256	949
213	257	945
214	257	941
215	258	938
216	259	934
217	259	930
218	260	927
219	260	923
220	261	920
221	261	917
222	262	913
223	262	909
224	263	906
225	263	902
226	264	899
227	264	896
228	265	892
229	265	889
230	266	886
231	266	883
232	267	880
233	268	877
234	268	874
235	269	871
236	269	868
237	270	865
238	270	861
239	271	858
240	271	855
241	272	852
242	272	849
243	273	846
244	273	843
245	274	840
246	274	838
247	275	835
248	276	832
249	276	829
250	277	827
251	277	824
252	278	821
253	278	818
254	279	815
255	279	812
256	280	810
257	280	807
258	281	804
259	281	802
260	282	799
261	282	797
262	283	794
263	283	791
264	284	789
265	285	786
266	286	785
267	286	783
268	287	780
269	287	777
270	288	775
271	288	772
272	289	770
273	289	767
274	290	765
275	290	762
276	291	760
277	291	757
278	292	755
279	292	752
280	293	750
281	293	748
282	294	745
283	294	743
284	295	741
285	295	738
286	296	736
287	297	734
288	298	734
289	299	732
290	299	730
291	300	727
292	300	725
293	301	723
294	301	720
295	302	718
296	302	716
297	303	714
298	303	711
299	304	709
300	304	708
301	305	706
302	305	703
303	306	701
304	307	699
305	307	697
306	308	695
307	308	693
308	309	691
309	309	689
310	310	687
311	310	685
312	311	683
313	311	681
314	312	679
315	312	677
316	313	675
317	313	673
318	314	671
319	314	669
320	315	667
321	316	665
322	316	663
323	317	661
324	317	659
325	318	658
326	318	656
327	319	654
328	319	652
329	320	650
330	320	648
331	321	646
332	321	644
333	322	642
334	322	640
335	323	638
336	323	637
337	324	635
338	325	633
339	325	632
340	326	630
341	327	629
342	327	627
343	328	625
344	328	623
345	329	622
346	329	620
347	330	618
348	330	616
349	331	614
350	331	613
351	332	611
352	332	609
353	333	608
354	333	606
355	334	604
356	334	602
357	335	601
358	335	599
359	336	597
360	336	596
361	337	594
362	337	592
363	338	590
364	338	589
365	339	587
366	339	586
367	340	584
368	340	582
369	341	581
370	341	579
371	342	578
372	342	576
373	343	574
374	344	573
375	344	571
376	345	570
377	345	568
378	346	567
379	346	565
380	347	564
381	347	562
382	348	560
383	348	559
384	349	557
385	349	556
386	350	554
387	350	553
388	351	551
389	351	550
390	352	548
391	352	547
392	353	545
393	353	544
394	354	542
395	354	541
396	355	539
397	356	538
398	356	537
399	357	535
400	357	534
401	358	532
402	358	531
403	359	530
404	359	528
405	360	527
406	360	525
407	361	524
408	362	523
409	362	521
410	363	520
411	363	518
412	364	517
413	364	516
414	365	514
415	365	513
416	366	511
417	366	510
418	367	509
419	367	508
420	368	506
421	369	505
422	369	504
423	370	502
424	370	501
425	371	500
426	371	498
427	372	497
428	372	496
429	373	494
430	373	493
431	374	492
432	374	490
433	375	489
434	375	488
435	376	486
436	376	485
437	377	484
438	377	482
439	378	481
440	378	480
441	379	479
442	380	477
443	380	476
444	381	475
445	381	474
446	382	472
447	382	471
448	383	470
449	383	468
450	384	467
451	384	466
452	385	465
453	385	464
454	386	462
455	386	461
456	387	460
457	388	459
458	388	458
459	389	456
460	389	455
461	390	454
462	390	453
463	391	451
464	391	450
465	392	449
466	392	448
467	393	447
468	393	445
469	394	444
470	394	443
471	395	442
472	395	441
473	396	439
474	396	438
475	397	437
476	397	436
477	398	435
478	398	433
479	399	432
480	400	431
481	400	430
482	401	429
483	401	428
484	402	427
485	402	426
486	403	424
487	403	423
488	404	422
489	404	421
490	405	420
491	405	419
492	406	417
493	406	416
494	407	415
495	407	414
496	408	413
497	409	412
498	409	411
499	410	410
500	410	408
501	411	407
502	411	406
503	412	405
504	412	404
505	413	403
506	413	402
507	414	401
508	414	400
509	415	398
510	415	397
511	416	396
512	416	395
513	417	394
514	417	393
515	418	392
516	419	391
517	419	390
518	420	389
519	420	388
520	421	387
521	421	386
522	422	384
523	422	383
524	423	382
525	423	381
526	424	380
527	424	379
528	425	378
529	425	377
530	426	376
531	426	375
532	427	374
533	427	373
534	428	372
535	428	371
536	429	370
537	429	369
538	430	368
539	430	367
540	431	366
541	432	365
542	432	364
543	433	363
544	433	362
545	434	361
546	434	359
547	435	359
548	435	357
549	436	356
550	436	355
551	437	354
552	437	353
553	438	352
554	438	351
555	439	350
556	439	349
557	440	348
558	440	347
559	441	346
560	441	345
561	442	344
562	442	343
563	443	342
564	443	341
565	444	340
566	444	339
567	445	338
568	445	337
569	446	336
570	447	335
571	447	334
572	448	333
573	448	332
574	449	331
575	449	330
576	450	329
577	450	328
578	451	328
579	451	327
580	452	326
581	452	325
582	453	324
583	453	323
584	454	322
585	454	321
586	455	320
587	455	319
588	456	318
589	456	317
590	457	316
591	457	315
592	458	314
593	458	313
594	459	312
595	459	311
596	460	310
597	461	309
598	461	309
599	462	308
600	462	307
601	463	306
602	464	305
603	464	304
604	465	303
605	465	302
606	465	301
607	466	300
608	467	299
609	467	298
610	468	298
611	468	297
612	469	296
613	469	295
614	470	294
615	470	293
616	471	292
617	471	291
618	472	290
619	472	289
620	473	288
621	473	287
622	474	287
623	474	286
624	475	285
625	475	284
626	476	283
627	476	282
628	477	281
629	478	280
630	478	279
631	479	278
632	479	278
633	480	277
634	480	276
635	481	275
636	481	274
637	482	273
638	482	272
639	483	271
640	483	270
641	484	270
642	484	269
643	485	268
644	485	267
645	486	266
646	486	265
647	487	264
648	487	263
649	488	262
650	488	261
651	489	261
652	489	260
653	490	259
654	490	258
655	491	257
656	491	256
657	492	255
658	492	254
659	493	254
660	493	253
661	494	252
662	494	251
663	495	250
664	495	249
665	496	248
666	496	248
667	497	247
668	497	246
669	498	245
670	498	244
671	499	243
672	499	242
673	500	242
674	500	241
675	501	240
676	502	239
677	502	238
678	503	237
679	503	237
680	504	236
681	504	235
682	505	234
683	505	233
684	506	232
685	506	232
686	507	231
687	508	230
688	508	229
689	509	228
690	509	227
691	510	227
692	510	226
693	511	225
694	511	224
695	512	223
696	512	222
697	513	222
698	513	221
699	514	220
700	514	219
701	515	218
702	516	218
703	516	217
704	517	216
705	517	215
706	518	214
707	518	213
708	519	213
709	519	212
710	520	211
711	520	210
712	521	209
713	522	209
714	522	208
715	523	207
716	523	206
717	524	205
718	524	205
719	525	204
720	525	203
721	526	202
722	526	201
723	527	201
724	527	200
725	528	199
726	529	198
727	529	197
728	530	197
729	530	196
730	531	195
731	531	194
732	532	193
733	532	193
734	533	192
735	533	191
736	534	190
737	534	189
738	535	189
739	535	188
740	536	187
741	537	186
742	537	185
743	538	185
744	538	184
745	539	183
746	539	182
747	540	181
748	540	181
749	541	180
750	541	179
751	542	178
752	542	178
753	543	177
754	543	176
755	544	175
756	544	174
757	545	174
758	545	173
759	546	172
760	546	171
761	547	170
762	547	170
763	548	169
764	549	168
765	549	167
766	550	167
767	550	166
768	551	165
769	551	164
770	552	164
771	552	163
772	553	162
773	553	161
774	554	160
775	554	160
776	555	159
777	557	158
778	557	158
779	558	157
780	558	156
781	559	155
782	559	155
783	560	154
784	561	153
785	561	152
786	562	152
787	562	151
788	563	150
789	563	149
790	564	149
791	564	148
792	565	147
793	565	146
794	566	146
795	567	145
796	567	144
797	568	143
798	568	143
799	569	142
800	569	141
801	570	140
802	570	140
803	571	139
804	571	138
805	572	137
806	572	137
807	573	136
808	573	135
809	574	134
810	575	134
811	575	133
812	576	132
813	576	131
814	577	131
815	577	130
816	578	129
817	578	128
818	579	127
819	579	127
820	580	126
821	580	125
822	581	125
823	582	124
824	582	123
825	583	122
826	583	122
827	584	121
828	584	120
829	585	119
830	585	119
831	586	118
832	587	117
833	587	116
834	588	116
835	588	115
836	589	114
837	589	114
838	590	113
839	591	112
840	591	111
841	592	111
842	592	110
843	593	109
844	593	108
845	594	108
846	594	107
847	595	106
848	595	105
849	596	105
850	597	104
851	597	103
852	598	103
853	598	102
854	599	101
855	600	100
856	600	100
857	601	99
858	601	98
859	602	98
860	602	97
861	603	96
862	603	95
863	604	95
864	604	94
865	605	93
866	605	92
867	606	92
868	606	91
869	607	90
870	608	90
871	608	89
872	609	88
873	609	87
874	610	87
875	610	86
876	611	85
877	612	85
878	612	84
